산출기준,연도,질환구분,성별,연령,등록건수
신규등록자,2016,중증화상,여,55~59,528
신규등록자,2016,중증화상,여,60~64,383
신규등록자,2016,중증화상,여,65~69,244
신규등록자,2016,중증화상,여,70~74,212
신규등록자,2016,중증화상,여,75~79,211
신규등록자,2016,중증화상,여,80~84,125
신규등록자,2016,중증화상,여,85~89,52
신규등록자,2016,중증화상,여,90~94,12
신규등록자,2016,중증화상,여,95~99,4
신규등록자,2016,중증화상,여,100 이상,0
신규등록자,2017,중증화상,남,0~4,1350
신규등록자,2017,중증화상,남,5~9,279
신규등록자,2017,중증화상,남,10~14,175
신규등록자,2017,중증화상,남,15~19,188
신규등록자,2017,중증화상,남,20~24,366
신규등록자,2017,중증화상,남,25~29,418
신규등록자,2017,중증화상,남,30~34,367
신규등록자,2017,중증화상,남,35~39,399
신규등록자,2017,중증화상,남,40~44,424
신규등록자,2017,중증화상,남,45~49,495
신규등록자,2017,중증화상,남,50~54,511
신규등록자,2017,중증화상,남,55~59,615
신규등록자,2017,중증화상,남,60~64,434
신규등록자,2017,중증화상,남,65~69,321
신규등록자,2017,중증화상,남,70~74,177
신규등록자,2017,중증화상,남,75~79,175
신규등록자,2017,중증화상,남,80~84,99
신규등록자,2017,중증화상,남,85~89,37
신규등록자,2017,중증화상,남,90~94,13
신규등록자,2017,중증화상,남,95~99,0
신규등록자,2017,중증화상,남,100 이상,0
신규등록자,2017,중증화상,여,0~4,966
신규등록자,2017,중증화상,여,5~9,295
신규등록자,2017,중증화상,여,10~14,165
신규등록자,2017,중증화상,여,15~19,213
신규등록자,2017,중증화상,여,20~24,326
신규등록자,2017,중증화상,여,25~29,301
신규등록자,2017,중증화상,여,30~34,292
신규등록자,2017,중증화상,여,35~39,394
신규등록자,2017,중증화상,여,40~44,371
신규등록자,2017,중증화상,여,45~49,469
신규등록자,2017,중증화상,여,50~54,472
신규등록자,2017,중증화상,여,55~59,659
신규등록자,2017,중증화상,여,60~64,510
신규등록자,2017,중증화상,여,65~69,334
신규등록자,2017,중증화상,여,70~74,210
신규등록자,2017,중증화상,여,75~79,240
신규등록자,2017,중증화상,여,80~84,181
신규등록자,2017,중증화상,여,85~89,75
신규등록자,2017,중증화상,여,90~94,13
신규등록자,2017,중증화상,여,95~99,1
신규등록자,2017,중증화상,여,100 이상,1
신규등록자,2018,중증화상,남,0~4,1333
신규등록자,2018,중증화상,남,5~9,297
신규등록자,2018,중증화상,남,10~14,228
신규등록자,2018,중증화상,남,15~19,269
신규등록자,2018,중증화상,남,20~24,420
신규등록자,2018,중증화상,남,25~29,442
신규등록자,2018,중증화상,남,30~34,402
신규등록자,2018,중증화상,남,35~39,479
신규등록자,2018,중증화상,남,40~44,441
신규등록자,2018,중증화상,남,45~49,540
신규등록자,2018,중증화상,남,50~54,633
신규등록자,2018,중증화상,남,55~59,643
신규등록자,2018,중증화상,남,60~64,562
신규등록자,2018,중증화상,남,65~69,335
신규등록자,2018,중증화상,남,70~74,220
신규등록자,2018,중증화상,남,75~79,171
신규등록자,2018,중증화상,남,80~84,87
신규등록자,2018,중증화상,남,85~89,33
신규등록자,2018,중증화상,남,90~94,8
신규등록자,2018,중증화상,남,95~99,3
신규등록자,2018,중증화상,남,100 이상,0
신규등록자,2018,중증화상,여,0~4,927
신규등록자,2018,중증화상,여,5~9,314
신규등록자,2018,중증화상,여,10~14,196
신규등록자,2018,중증화상,여,15~19,210
신규등록자,2018,중증화상,여,20~24,452
신규등록자,2018,중증화상,여,25~29,451
신규등록자,2018,중증화상,여,30~34,355
신규등록자,2018,중증화상,여,35~39,507
신규등록자,2018,중증화상,여,40~44,469
신규등록자,2018,중증화상,여,45~49,643
신규등록자,2018,중증화상,여,50~54,704
신규등록자,2018,중증화상,여,55~59,757
신규등록자,2018,중증화상,여,60~64,694
신규등록자,2018,중증화상,여,65~69,375
신규등록자,2018,중증화상,여,70~74,311
신규등록자,2018,중증화상,여,75~79,270
신규등록자,2018,중증화상,여,80~84,180
신규등록자,2018,중증화상,여,85~89,87
신규등록자,2018,중증화상,여,90~94,22
신규등록자,2018,중증화상,여,95~99,3
신규등록자,2018,중증화상,여,100 이상,0
신규등록자,2019,중증화상,남,0~4,1471
신규등록자,2019,중증화상,남,5~9,384
신규등록자,2019,중증화상,남,10~14,295
신규등록자,2019,중증화상,남,15~19,310
신규등록자,2019,중증화상,남,20~24,519
신규등록자,2019,중증화상,남,25~29,592
신규등록자,2019,중증화상,남,30~34,451
신규등록자,2019,중증화상,남,35~39,545
신규등록자,2019,중증화상,남,40~44,524
신규등록자,2019,중증화상,남,45~49,598
신규등록자,2019,중증화상,남,50~54,648
신규등록자,2019,중증화상,남,55~59,717
신규등록자,2019,중증화상,남,60~64,670
신규등록자,2019,중증화상,남,65~69,406
신규등록자,2019,중증화상,남,70~74,245
신규등록자,2019,중증화상,남,75~79,208
신규등록자,2019,중증화상,남,80~84,124
신규등록자,2019,중증화상,남,85~89,40
신규등록자,2019,중증화상,남,90~94,7
신규등록자,2019,중증화상,남,95~99,0
신규등록자,2019,중증화상,남,100 이상,0
신규등록자,2019,중증화상,여,0~4,1062
신규등록자,2019,중증화상,여,5~9,445
신규등록자,2019,중증화상,여,10~14,277
신규등록자,2019,중증화상,여,15~19,315
신규등록자,2019,중증화상,여,20~24,536
신규등록자,2019,중증화상,여,25~29,561
신규등록자,2019,중증화상,여,30~34,475
신규등록자,2019,중증화상,여,35~39,632
신규등록자,2019,중증화상,여,40~44,612
신규등록자,2019,중증화상,여,45~49,718
신규등록자,2019,중증화상,여,50~54,866
신규등록자,2019,중증화상,여,55~59,935
신규등록자,2019,중증화상,여,60~64,856
신규등록자,2019,중증화상,여,65~69,545
신규등록자,2019,중증화상,여,70~74,350
신규등록자,2019,중증화상,여,75~79,295
신규등록자,2019,중증화상,여,80~84,210
신규등록자,2019,중증화상,여,85~89,98
신규등록자,2019,중증화상,여,90~94,34
신규등록자,2019,중증화상,여,95~99,4
신규등록자,2019,중증화상,여,100 이상,0
신규등록자,2020,중증화상,남,0~4,1441
신규등록자,2020,중증화상,남,5~9,488
신규등록자,2020,중증화상,남,10~14,324
신규등록자,2020,중증화상,남,15~19,302
신규등록자,2020,중증화상,남,20~24,521
신규등록자,2020,중증화상,남,25~29,696
신규등록자,2020,중증화상,남,30~34,614
신규등록자,2020,중증화상,남,35~39,668
신규등록자,2020,중증화상,남,40~44,631
신규등록자,2020,중증화상,남,45~49,612
신규등록자,2020,중증화상,남,50~54,694
신규등록자,2020,중증화상,남,55~59,701
신규등록자,2020,중증화상,남,60~64,738
신규등록자,2020,중증화상,남,65~69,408
신규등록자,2020,중증화상,남,70~74,247
신규등록자,2020,중증화상,남,75~79,195
신규등록자,2020,중증화상,남,80~84,123
신규등록자,2020,중증화상,남,85~89,55
신규등록자,2020,중증화상,남,90~94,21
신규등록자,2020,중증화상,남,95~99,3
신규등록자,2020,중증화상,남,100 이상,0
신규등록자,2020,중증화상,여,0~4,994
신규등록자,2020,중증화상,여,5~9,541
신규등록자,2020,중증화상,여,10~14,339
신규등록자,2020,중증화상,여,15~19,271
신규등록자,2020,중증화상,여,20~24,603
신규등록자,2020,중증화상,여,25~29,689
신규등록자,2020,중증화상,여,30~34,561
신규등록자,2020,중증화상,여,35~39,669
신규등록자,2020,중증화상,여,40~44,710
신규등록자,2020,중증화상,여,45~49,822
신규등록자,2020,중증화상,여,50~54,834
신규등록자,2020,중증화상,여,55~59,856
신규등록자,2020,중증화상,여,60~64,766
신규등록자,2020,중증화상,여,65~69,549
신규등록자,2020,중증화상,여,70~74,383
신규등록자,2020,중증화상,여,75~79,290
신규등록자,2020,중증화상,여,80~84,234
신규등록자,2020,중증화상,여,85~89,104
신규등록자,2020,중증화상,여,90~94,20
신규등록자,2020,중증화상,여,95~99,4
신규등록자,2020,중증화상,여,100 이상,0
신규등록자,2021,중증화상,남,0~4,71
신규등록자,2021,중증화상,남,5~9,23
신규등록자,2021,중증화상,남,10~14,23
신규등록자,2021,중증화상,남,15~19,18
신규등록자,2021,중증화상,남,20~24,37
신규등록자,2021,중증화상,남,25~29,57
신규등록자,2021,중증화상,남,30~34,60
신규등록자,2021,중증화상,남,35~39,64
신규등록자,2021,중증화상,남,40~44,66
신규등록자,2021,중증화상,남,45~49,82
신규등록자,2021,중증화상,남,50~54,110
신규등록자,2021,중증화상,남,55~59,120
신규등록자,2021,중증화상,남,60~64,131
신규등록자,2021,중증화상,남,65~69,102
신규등록자,2021,중증화상,남,70~74,75
신규등록자,2021,중증화상,남,75~79,51
신규등록자,2021,중증화상,남,80~84,48
신규등록자,2021,중증화상,남,85~89,24
신규등록자,2021,중증화상,남,90~94,6
신규등록자,2021,중증화상,남,95~99,2
신규등록자,2021,중증화상,남,100 이상,0
신규등록자,2021,중증화상,여,0~4,39
신규등록자,2021,중증화상,여,5~9,29
신규등록자,2021,중증화상,여,10~14,32
신규등록자,2021,중증화상,여,15~19,17
신규등록자,2021,중증화상,여,20~24,38
신규등록자,2021,중증화상,여,25~29,42
신규등록자,2021,중증화상,여,30~34,33
신규등록자,2021,중증화상,여,35~39,24
신규등록자,2021,중증화상,여,40~44,42
신규등록자,2021,중증화상,여,45~49,53
신규등록자,2021,중증화상,여,50~54,74
신규등록자,2021,중증화상,여,55~59,75
신규등록자,2021,중증화상,여,60~64,94
신규등록자,2021,중증화상,여,65~69,73
신규등록자,2021,중증화상,여,70~74,63
신규등록자,2021,중증화상,여,75~79,56
신규등록자,2021,중증화상,여,80~84,61
신규등록자,2021,중증화상,여,85~89,29
신규등록자,2021,중증화상,여,90~94,9
신규등록자,2021,중증화상,여,95~99,1
신규등록자,2021,중증화상,여,100 이상,2
신규등록자,2022,중증화상,남,0~4,55
신규등록자,2022,중증화상,남,5~9,23
신규등록자,2022,중증화상,남,10~14,18
신규등록자,2022,중증화상,남,15~19,16
신규등록자,2022,중증화상,남,20~24,41
신규등록자,2022,중증화상,남,25~29,49
신규등록자,2022,중증화상,남,30~34,65
신규등록자,2022,중증화상,남,35~39,38
신규등록자,2022,중증화상,남,40~44,93
신규등록자,2022,중증화상,남,45~49,87
신규등록자,2022,중증화상,남,50~54,110
신규등록자,2022,중증화상,남,55~59,133
신규등록자,2022,중증화상,남,60~64,132
신규등록자,2022,중증화상,남,65~69,102
신규등록자,2022,중증화상,남,70~74,84
신규등록자,2022,중증화상,남,75~79,44
신규등록자,2022,중증화상,남,80~84,37
신규등록자,2022,중증화상,남,85~89,23
신규등록자,2022,중증화상,남,90~94,7
신규등록자,2022,중증화상,남,95~99,1
신규등록자,2022,중증화상,남,100 이상,0
신규등록자,2022,중증화상,여,0~4,24
신규등록자,2022,중증화상,여,5~9,25
신규등록자,2022,중증화상,여,10~14,28
신규등록자,2022,중증화상,여,15~19,19
신규등록자,2022,중증화상,여,20~24,40
신규등록자,2022,중증화상,여,25~29,48
신규등록자,2022,중증화상,여,30~34,31
신규등록자,2022,중증화상,여,35~39,46
신규등록자,2022,중증화상,여,40~44,47
신규등록자,2022,중증화상,여,45~49,44
신규등록자,2022,중증화상,여,50~54,68
신규등록자,2022,중증화상,여,55~59,72
신규등록자,2022,중증화상,여,60~64,86
신규등록자,2022,중증화상,여,65~69,75
신규등록자,2022,중증화상,여,70~74,65
신규등록자,2022,중증화상,여,75~79,81
신규등록자,2022,중증화상,여,80~84,66
신규등록자,2022,중증화상,여,85~89,38
신규등록자,2022,중증화상,여,90~94,12
신규등록자,2022,중증화상,여,95~99,1
신규등록자,2022,중증화상,여,100 이상,0
신규등록자,2023,중증화상,남,0~4,0
신규등록자,2023,중증화상,남,5~9,0
신규등록자,2023,중증화상,남,10~14,0
신규등록자,2023,중증화상,남,15~19,0
신규등록자,2023,중증화상,남,20~24,0
신규등록자,2023,중증화상,남,25~29,0
신규등록자,2023,중증화상,남,30~34,0
신규등록자,2023,중증화상,남,35~39,0
신규등록자,2023,중증화상,남,40~44,0
신규등록자,2023,중증화상,남,45~49,0
신규등록자,2023,중증화상,남,50~54,0
신규등록자,2023,중증화상,남,55~59,0
신규등록자,2023,중증화상,남,60~64,0
신규등록자,2023,중증화상,남,65~69,0
신규등록자,2023,중증화상,남,70~74,0
신규등록자,2023,중증화상,남,75~79,0
신규등록자,2023,중증화상,남,80~84,0
신규등록자,2023,중증화상,남,85~89,0
신규등록자,2023,중증화상,남,90~94,0
신규등록자,2023,중증화상,남,95~99,0
신규등록자,2023,중증화상,남,100 이상,0
신규등록자,2023,중증화상,여,0~4,0
신규등록자,2023,중증화상,여,5~9,0
신규등록자,2023,중증화상,여,10~14,0
신규등록자,2023,중증화상,여,15~19,0
신규등록자,2023,중증화상,여,20~24,0
신규등록자,2023,중증화상,여,25~29,0
신규등록자,2023,중증화상,여,30~34,0
신규등록자,2023,중증화상,여,35~39,0
신규등록자,2023,중증화상,여,40~44,0
신규등록자,2023,중증화상,여,45~49,0
신규등록자,2023,중증화상,여,50~54,0
신규등록자,2023,중증화상,여,55~59,0
신규등록자,2023,중증화상,여,60~64,0
신규등록자,2023,중증화상,여,65~69,0
신규등록자,2023,중증화상,여,70~74,0
신규등록자,2023,중증화상,여,75~79,0
신규등록자,2023,중증화상,여,80~84,0
신규등록자,2023,중증화상,여,85~89,0
신규등록자,2023,중증화상,여,90~94,0
신규등록자,2023,중증화상,여,95~99,0
신규등록자,2023,중증화상,여,100 이상,0
신규등록자,2015,중증치매(V800),남,0~4,0
신규등록자,2015,중증치매(V800),남,5~9,0
신규등록자,2015,중증치매(V800),남,10~14,0
신규등록자,2015,중증치매(V800),남,15~19,0
신규등록자,2015,중증치매(V800),남,20~24,0
신규등록자,2015,중증치매(V800),남,25~29,0
신규등록자,2015,중증치매(V800),남,30~34,0
신규등록자,2015,중증치매(V800),남,35~39,0
신규등록자,2015,중증치매(V800),남,40~44,0
신규등록자,2015,중증치매(V800),남,45~49,0
신규등록자,2015,중증치매(V800),남,50~54,0
신규등록자,2015,중증치매(V800),남,55~59,0
신규등록자,2015,중증치매(V800),남,60~64,0
신규등록자,2015,중증치매(V800),남,65~69,0
신규등록자,2015,중증치매(V800),남,70~74,0
신규등록자,2015,중증치매(V800),남,75~79,0
신규등록자,2015,중증치매(V800),남,80~84,0
신규등록자,2015,중증치매(V800),남,85~89,0
신규등록자,2015,중증치매(V800),남,90~94,0
신규등록자,2015,중증치매(V800),남,95~99,0
신규등록자,2015,중증치매(V800),남,100 이상,0
신규등록자,2015,중증치매(V800),여,0~4,0
신규등록자,2015,중증치매(V800),여,5~9,0
신규등록자,2015,중증치매(V800),여,10~14,0
신규등록자,2015,중증치매(V800),여,15~19,0
신규등록자,2015,중증치매(V800),여,20~24,0
신규등록자,2015,중증치매(V800),여,25~29,0
신규등록자,2015,중증치매(V800),여,30~34,0
신규등록자,2015,중증치매(V800),여,35~39,0
신규등록자,2015,중증치매(V800),여,40~44,0
신규등록자,2015,중증치매(V800),여,45~49,0
신규등록자,2015,중증치매(V800),여,50~54,0
신규등록자,2015,중증치매(V800),여,55~59,0
신규등록자,2015,중증치매(V800),여,60~64,0
신규등록자,2015,중증치매(V800),여,65~69,0
신규등록자,2015,중증치매(V800),여,70~74,0
신규등록자,2015,중증치매(V800),여,75~79,0
신규등록자,2015,중증치매(V800),여,80~84,0
신규등록자,2015,중증치매(V800),여,85~89,0
신규등록자,2015,중증치매(V800),여,90~94,0
신규등록자,2015,중증치매(V800),여,95~99,0
신규등록자,2015,중증치매(V800),여,100 이상,0
신규등록자,2016,중증치매(V800),남,0~4,0
신규등록자,2016,중증치매(V800),남,5~9,0
신규등록자,2016,중증치매(V800),남,10~14,0
신규등록자,2016,중증치매(V800),남,15~19,0
신규등록자,2016,중증치매(V800),남,20~24,0
신규등록자,2016,중증치매(V800),남,25~29,0
신규등록자,2016,중증치매(V800),남,30~34,0
신규등록자,2016,중증치매(V800),남,35~39,0
신규등록자,2016,중증치매(V800),남,40~44,0
신규등록자,2016,중증치매(V800),남,45~49,0
신규등록자,2016,중증치매(V800),남,50~54,0
신규등록자,2016,중증치매(V800),남,55~59,0
신규등록자,2016,중증치매(V800),남,60~64,0
신규등록자,2016,중증치매(V800),남,65~69,0
신규등록자,2016,중증치매(V800),남,70~74,0
신규등록자,2016,중증치매(V800),남,75~79,0
신규등록자,2016,중증치매(V800),남,80~84,0
신규등록자,2016,중증치매(V800),남,85~89,0
신규등록자,2016,중증치매(V800),남,90~94,0
신규등록자,2016,중증치매(V800),남,95~99,0
신규등록자,2016,중증치매(V800),남,100 이상,0
신규등록자,2016,중증치매(V800),여,0~4,0
신규등록자,2016,중증치매(V800),여,5~9,0
신규등록자,2016,중증치매(V800),여,10~14,0
신규등록자,2016,중증치매(V800),여,15~19,0
신규등록자,2016,중증치매(V800),여,20~24,0
신규등록자,2016,중증치매(V800),여,25~29,0
신규등록자,2016,중증치매(V800),여,30~34,0
신규등록자,2016,중증치매(V800),여,35~39,0
신규등록자,2016,중증치매(V800),여,40~44,0
신규등록자,2016,중증치매(V800),여,45~49,0
신규등록자,2016,중증치매(V800),여,50~54,0
신규등록자,2016,중증치매(V800),여,55~59,0
신규등록자,2016,중증치매(V800),여,60~64,0
신규등록자,2016,중증치매(V800),여,65~69,0
신규등록자,2016,중증치매(V800),여,70~74,0
신규등록자,2016,중증치매(V800),여,75~79,0
신규등록자,2016,중증치매(V800),여,80~84,0
신규등록자,2016,중증치매(V800),여,85~89,0
신규등록자,2016,중증치매(V800),여,90~94,0
신규등록자,2016,중증치매(V800),여,95~99,0
신규등록자,2016,중증치매(V800),여,100 이상,0
신규등록자,2017,중증치매(V800),남,0~4,0
신규등록자,2017,중증치매(V800),남,5~9,0
신규등록자,2017,중증치매(V800),남,10~14,0
신규등록자,2017,중증치매(V800),남,15~19,0
신규등록자,2017,중증치매(V800),남,20~24,0
신규등록자,2017,중증치매(V800),남,25~29,0
신규등록자,2017,중증치매(V800),남,30~34,0
신규등록자,2017,중증치매(V800),남,35~39,2
신규등록자,2017,중증치매(V800),남,40~44,1
신규등록자,2017,중증치매(V800),남,45~49,3
신규등록자,2017,중증치매(V800),남,50~54,12
신규등록자,2017,중증치매(V800),남,55~59,91
신규등록자,2017,중증치매(V800),남,60~64,150
신규등록자,2017,중증치매(V800),남,65~69,98
신규등록자,2017,중증치매(V800),남,70~74,61
신규등록자,2017,중증치매(V800),남,75~79,86
신규등록자,2017,중증치매(V800),남,80~84,58
신규등록자,2017,중증치매(V800),남,85~89,26
신규등록자,2017,중증치매(V800),남,90~94,10
신규등록자,2017,중증치매(V800),남,95~99,3
신규등록자,2017,중증치매(V800),남,100 이상,0
신규등록자,2017,중증치매(V800),여,0~4,0
신규등록자,2017,중증치매(V800),여,5~9,0
신규등록자,2017,중증치매(V800),여,10~14,0
신규등록자,2017,중증치매(V800),여,15~19,0
신규등록자,2017,중증치매(V800),여,20~24,0
신규등록자,2017,중증치매(V800),여,25~29,0
신규등록자,2017,중증치매(V800),여,30~34,0
신규등록자,2017,중증치매(V800),여,35~39,1
신규등록자,2017,중증치매(V800),여,40~44,0
신규등록자,2017,중증치매(V800),여,45~49,6
신규등록자,2017,중증치매(V800),여,50~54,38
신규등록자,2017,중증치매(V800),여,55~59,166
신규등록자,2017,중증치매(V800),여,60~64,197
신규등록자,2017,중증치매(V800),여,65~69,146
신규등록자,2017,중증치매(V800),여,70~74,119
신규등록자,2017,중증치매(V800),여,75~79,155
신규등록자,2017,중증치매(V800),여,80~84,131
신규등록자,2017,중증치매(V800),여,85~89,79
신규등록자,2017,중증치매(V800),여,90~94,33
신규등록자,2017,중증치매(V800),여,95~99,5
신규등록자,2017,중증치매(V800),여,100 이상,0
신규등록자,2018,중증치매(V800),남,0~4,0
신규등록자,2018,중증치매(V800),남,5~9,0
신규등록자,2018,중증치매(V800),남,10~14,0
신규등록자,2018,중증치매(V800),남,15~19,0
신규등록자,2018,중증치매(V800),남,20~24,0
신규등록자,2018,중증치매(V800),남,25~29,1
신규등록자,2018,중증치매(V800),남,30~34,0
신규등록자,2018,중증치매(V800),남,35~39,2
신규등록자,2018,중증치매(V800),남,40~44,1
신규등록자,2018,중증치매(V800),남,45~49,3
신규등록자,2018,중증치매(V800),남,50~54,21
신규등록자,2018,중증치매(V800),남,55~59,69
신규등록자,2018,중증치매(V800),남,60~64,143
신규등록자,2018,중증치매(V800),남,65~69,121
신규등록자,2018,중증치매(V800),남,70~74,94
신규등록자,2018,중증치매(V800),남,75~79,107
신규등록자,2018,중증치매(V800),남,80~84,77
신규등록자,2018,중증치매(V800),남,85~89,52
신규등록자,2018,중증치매(V800),남,90~94,20
신규등록자,2018,중증치매(V800),남,95~99,0
신규등록자,2018,중증치매(V800),남,100 이상,0
신규등록자,2018,중증치매(V800),여,0~4,0
신규등록자,2018,중증치매(V800),여,5~9,0
신규등록자,2018,중증치매(V800),여,10~14,0
신규등록자,2018,중증치매(V800),여,15~19,0
신규등록자,2018,중증치매(V800),여,20~24,0
신규등록자,2018,중증치매(V800),여,25~29,0
신규등록자,2018,중증치매(V800),여,30~34,0
신규등록자,2018,중증치매(V800),여,35~39,0
신규등록자,2018,중증치매(V800),여,40~44,2
신규등록자,2018,중증치매(V800),여,45~49,9
신규등록자,2018,중증치매(V800),여,50~54,51
신규등록자,2018,중증치매(V800),여,55~59,151
신규등록자,2018,중증치매(V800),여,60~64,242
신규등록자,2018,중증치매(V800),여,65~69,182
신규등록자,2018,중증치매(V800),여,70~74,152
신규등록자,2018,중증치매(V800),여,75~79,180
신규등록자,2018,중증치매(V800),여,80~84,197
신규등록자,2018,중증치매(V800),여,85~89,138
신규등록자,2018,중증치매(V800),여,90~94,42
신규등록자,2018,중증치매(V800),여,95~99,12
신규등록자,2018,중증치매(V800),여,100 이상,1
신규등록자,2019,중증치매(V800),남,0~4,0
신규등록자,2019,중증치매(V800),남,5~9,0
신규등록자,2019,중증치매(V800),남,10~14,0
신규등록자,2019,중증치매(V800),남,15~19,0
신규등록자,2019,중증치매(V800),남,20~24,0
신규등록자,2019,중증치매(V800),남,25~29,1
신규등록자,2019,중증치매(V800),남,30~34,0
신규등록자,2019,중증치매(V800),남,35~39,0
신규등록자,2019,중증치매(V800),남,40~44,2
신규등록자,2019,중증치매(V800),남,45~49,6
신규등록자,2019,중증치매(V800),남,50~54,19
신규등록자,2019,중증치매(V800),남,55~59,43
신규등록자,2019,중증치매(V800),남,60~64,97
신규등록자,2019,중증치매(V800),남,65~69,66
신규등록자,2019,중증치매(V800),남,70~74,68
신규등록자,2019,중증치매(V800),남,75~79,80
신규등록자,2019,중증치매(V800),남,80~84,65
신규등록자,2019,중증치매(V800),남,85~89,34
신규등록자,2019,중증치매(V800),남,90~94,10
신규등록자,2019,중증치매(V800),남,95~99,1
신규등록자,2019,중증치매(V800),남,100 이상,0
신규등록자,2019,중증치매(V800),여,0~4,0
신규등록자,2019,중증치매(V800),여,5~9,0
신규등록자,2019,중증치매(V800),여,10~14,0
신규등록자,2019,중증치매(V800),여,15~19,0
신규등록자,2019,중증치매(V800),여,20~24,0
신규등록자,2019,중증치매(V800),여,25~29,0
신규등록자,2019,중증치매(V800),여,30~34,0
신규등록자,2019,중증치매(V800),여,35~39,1
신규등록자,2019,중증치매(V800),여,40~44,3
신규등록자,2019,중증치매(V800),여,45~49,9
신규등록자,2019,중증치매(V800),여,50~54,32
신규등록자,2019,중증치매(V800),여,55~59,93
신규등록자,2019,중증치매(V800),여,60~64,125
신규등록자,2019,중증치매(V800),여,65~69,100
신규등록자,2019,중증치매(V800),여,70~74,92
신규등록자,2019,중증치매(V800),여,75~79,117
신규등록자,2019,중증치매(V800),여,80~84,130
신규등록자,2019,중증치매(V800),여,85~89,76
신규등록자,2019,중증치매(V800),여,90~94,28
신규등록자,2019,중증치매(V800),여,95~99,2
신규등록자,2019,중증치매(V800),여,100 이상,1
신규등록자,2020,중증치매(V800),남,0~4,0
신규등록자,2020,중증치매(V800),남,5~9,0
신규등록자,2020,중증치매(V800),남,10~14,0
신규등록자,2020,중증치매(V800),남,15~19,0
신규등록자,2020,중증치매(V800),남,20~24,0
신규등록자,2020,중증치매(V800),남,25~29,0
신규등록자,2020,중증치매(V800),남,30~34,0
신규등록자,2020,중증치매(V800),남,35~39,1
신규등록자,2020,중증치매(V800),남,40~44,2
신규등록자,2020,중증치매(V800),남,45~49,3
신규등록자,2020,중증치매(V800),남,50~54,16
신규등록자,2020,중증치매(V800),남,55~59,57
신규등록자,2020,중증치매(V800),남,60~64,107
신규등록자,2020,중증치매(V800),남,65~69,78
